phi_deg,phi_rad,node_shift_mm,p_eff_kPa,sigma0_phi_Pa,eps_peak_pct,Dx_bi_um,Dy_bi_um
0.0,0.000000,0.0000,1000.0000,26.826852,9.690422,180.6192,219.3808
1.0,0.017453,0.0028,999.9619,26.824809,9.689684,180.6206,219.3794
2.0,0.034907,0.0056,999.8477,26.818681,9.687471,180.6251,219.3749
3.0,0.052360,0.0083,999.6573,26.808469,9.683782,180.6324,219.3676
4.0,0.069813,0.0111,999.3908,26.794177,9.678619,180.6428,219.3572
5.0,0.087266,0.0139,999.0482,26.775810,9.671985,180.6560,219.3440
6.0,0.104720,0.0167,998.6295,26.753372,9.663880,180.6722,219.3278
7.0,0.122173,0.0195,998.1348,26.726870,9.654307,180.6914,219.3086
8.0,0.139626,0.0222,997.5641,26.696313,9.643269,180.7135,219.2865
9.0,0.157080,0.0250,996.9173,26.661710,9.630770,180.7385,219.2615
10.0,0.174533,0.0278,996.1947,26.623072,9.616812,180.7664,219.2336
11.0,0.191986,0.0306,995.3962,26.580409,9.601402,180.7972,219.2028
12.0,0.209440,0.0334,994.5219,26.533736,9.584543,180.8309,219.1691
13.0,0.226893,0.0361,993.5719,26.483067,9.566240,180.8675,219.1325
14.0,0.244346,0.0389,992.5462,26.428416,9.546499,180.9070,219.0930
15.0,0.261799,0.0417,991.4449,26.369800,9.525326,180.9493,219.0507
16.0,0.279253,0.0445,990.2681,26.307238,9.502727,180.9945,219.0055
17.0,0.296706,0.0473,989.0159,26.240749,9.478709,181.0426,218.9574
18.0,0.314159,0.0500,987.6883,26.170352,9.453281,181.0934,218.9066
19.0,0.331613,0.0528,986.2856,26.096069,9.426448,181.1471,218.8529
20.0,0.349066,0.0556,984.8078,26.017923,9.398220,181.2036,218.7964
21.0,0.366519,0.0584,983.2549,25.935938,9.368605,181.2628,218.7372
22.0,0.383972,0.0612,981.6272,25.850138,9.337613,181.3248,218.6752
23.0,0.401426,0.0639,979.9247,25.760550,9.305251,181.3895,218.6105
24.0,0.418879,0.0667,978.1476,25.667200,9.271532,181.4569,218.5431
25.0,0.436332,0.0695,976.2960,25.570118,9.236464,181.5271,218.4729
26.0,0.453786,0.0723,974.3701,25.469333,9.200058,181.5999,218.4001
27.0,0.471239,0.0751,972.3699,25.364876,9.162326,181.6753,218.3247
28.0,0.488692,0.0778,970.2957,25.256778,9.123278,181.7534,218.2466
29.0,0.506145,0.0806,968.1476,25.145073,9.082928,181.8341,218.1659
30.0,0.523599,0.0834,965.9258,25.029793,9.041287,181.9174,218.0826
31.0,0.541052,0.0862,963.6305,24.910976,8.998368,182.0033,217.9967
32.0,0.558505,0.0889,961.2617,24.788656,8.954183,182.0916,217.9084
33.0,0.575959,0.0917,958.8197,24.662871,8.908747,182.1825,217.8175
34.0,0.593412,0.0945,956.3048,24.533660,8.862073,182.2759,217.7241
35.0,0.610865,0.0973,953.7170,24.401061,8.814176,182.3716,217.6284
36.0,0.628319,0.1001,951.0565,24.265115,8.765069,182.4699,217.5301
37.0,0.645772,0.1028,948.3237,24.125864,8.714769,182.5705,217.4295
38.0,0.663225,0.1056,945.5186,23.983350,8.663289,182.6734,217.3266
39.0,0.680678,0.1084,942.6415,23.837616,8.610647,182.7787,217.2213
40.0,0.698132,0.1112,939.6926,23.688706,8.556858,182.8863,217.1137
41.0,0.715585,0.1140,936.6722,23.536667,8.501938,182.9961,217.0039
42.0,0.733038,0.1167,933.5804,23.381544,8.445905,183.1082,216.8918
43.0,0.750492,0.1195,930.4176,23.223385,8.388774,183.2225,216.7775
44.0,0.767945,0.1223,927.1839,23.062237,8.330564,183.3389,216.6611
45.0,0.785398,0.1251,923.8795,22.898150,8.271293,183.4574,216.5426
46.0,0.802851,0.1279,920.5049,22.731174,8.210977,183.5780,216.4220
47.0,0.820305,0.1306,917.0601,22.561360,8.149637,183.7007,216.2993
48.0,0.837758,0.1334,913.5455,22.388760,8.087290,183.8254,216.1746
49.0,0.855211,0.1362,909.9613,22.213425,8.023956,183.9521,216.0479
50.0,0.872665,0.1390,906.3078,22.035410,7.959653,184.0807,215.9193
51.0,0.890118,0.1418,902.5853,21.854768,7.894401,184.2112,215.7888
52.0,0.907571,0.1445,898.7940,21.671555,7.828221,184.3436,215.6564
53.0,0.925025,0.1473,894.9344,21.485827,7.761132,184.4777,215.5223
54.0,0.942478,0.1501,891.0065,21.297640,7.693155,184.6137,215.3863
55.0,0.959931,0.1529,887.0108,21.107051,7.624310,184.7514,215.2486
56.0,0.977384,0.1557,882.9476,20.914118,7.554619,184.8908,215.1092
57.0,0.994838,0.1584,878.8171,20.718901,7.484102,185.0318,214.9682
58.0,1.012291,0.1612,874.6197,20.521459,7.412782,185.1744,214.8256
59.0,1.029744,0.1640,870.3557,20.321851,7.340679,185.3186,214.6814
60.0,1.047198,0.1668,866.0254,20.120139,7.267817,185.4644,214.5356
61.0,1.064651,0.1696,861.6292,19.916384,7.194216,185.6116,214.3884
62.0,1.082104,0.1723,857.1673,19.710648,7.119900,185.7602,214.2398
63.0,1.099557,0.1751,852.6402,19.502994,7.044891,185.9102,214.0898
64.0,1.117011,0.1779,848.0481,19.293485,6.969212,186.0616,213.9384
65.0,1.134464,0.1807,843.3914,19.082185,6.892886,186.2142,213.7858
66.0,1.151917,0.1835,838.6706,18.869158,6.815936,186.3681,213.6319
67.0,1.169371,0.1862,833.8858,18.654469,6.738386,186.5232,213.4768
68.0,1.186824,0.1890,829.0376,18.438184,6.660259,186.6795,213.3205
69.0,1.204277,0.1918,824.1262,18.220368,6.581579,186.8368,213.1632
70.0,1.221730,0.1946,819.1520,18.001088,6.502371,186.9953,213.0047
71.0,1.239184,0.1974,814.1155,17.780410,6.422657,187.1547,212.8453
72.0,1.256637,0.2001,809.0170,17.558402,6.342464,187.3151,212.6849
73.0,1.274090,0.2029,803.8569,17.335132,6.261814,187.4764,212.5236
74.0,1.291544,0.2057,798.6355,17.110667,6.180732,187.6385,212.3615
75.0,1.308997,0.2085,793.3533,16.885076,6.099244,187.8015,212.1985
76.0,1.326450,0.2113,788.0108,16.658427,6.017374,187.9653,212.0347
77.0,1.343904,0.2140,782.6082,16.430790,5.935146,188.1297,211.8703
78.0,1.361357,0.2168,777.1460,16.202234,5.852587,188.2948,211.7052
79.0,1.378810,0.2196,771.6246,15.972828,5.769721,188.4606,211.5394
80.0,1.396263,0.2224,766.0444,15.742643,5.686573,188.6269,211.3731
81.0,1.413717,0.2252,760.4060,15.511748,5.603169,188.7937,211.2063
82.0,1.431170,0.2279,754.7096,15.280214,5.519534,188.9609,211.0391
83.0,1.448623,0.2307,748.9557,15.048111,5.435694,189.1286,210.8714
84.0,1.466077,0.2335,743.1448,14.815511,5.351674,189.2967,210.7033
85.0,1.483530,0.2363,737.2773,14.582483,5.267499,189.4650,210.5350
86.0,1.500983,0.2391,731.3537,14.349099,5.183196,189.6336,210.3664
87.0,1.518436,0.2418,725.3744,14.115430,5.098790,189.8024,210.1976
88.0,1.535890,0.2446,719.3398,13.881548,5.014306,189.9714,210.0286
89.0,1.553343,0.2474,713.2504,13.647522,4.929772,190.1405,209.8595
90.0,1.570796,0.2502,707.1068,13.413426,4.845211,190.3096,209.6904
91.0,1.588250,0.2529,700.9093,13.179329,4.760650,190.4787,209.5213
92.0,1.605703,0.2557,694.6584,12.945304,4.676116,190.6478,209.3522
93.0,1.623156,0.2585,688.3546,12.711421,4.591632,190.8167,209.1833
94.0,1.640609,0.2613,681.9984,12.477753,4.507226,190.9855,209.0145
95.0,1.658063,0.2641,675.5902,12.244369,4.422923,191.1542,208.8458
96.0,1.675516,0.2668,669.1306,12.011341,4.338749,191.3225,208.6775
97.0,1.692969,0.2696,662.6200,11.778740,4.254728,191.4905,208.5095
98.0,1.710423,0.2724,656.0590,11.546638,4.170888,191.6582,208.3418
99.0,1.727876,0.2752,649.4480,11.315104,4.087253,191.8255,208.1745
100.0,1.745329,0.2780,642.7876,11.084209,4.003849,191.9923,208.0077
101.0,1.762783,0.2807,636.0782,10.854024,3.920701,192.1586,207.8414
102.0,1.780236,0.2835,629.3204,10.624618,3.837835,192.3243,207.6757
103.0,1.797689,0.2863,622.5146,10.396062,3.755276,192.4894,207.5106
104.0,1.815142,0.2891,615.6615,10.168424,3.673048,192.6539,207.3461
105.0,1.832596,0.2919,608.7614,9.941776,3.591178,192.8176,207.1824
106.0,1.850049,0.2946,601.8150,9.716185,3.509690,192.9806,207.0194
107.0,1.867502,0.2974,594.8228,9.491720,3.428608,193.1428,206.8572
108.0,1.884956,0.3002,587.7853,9.268449,3.347958,193.3041,206.6959
109.0,1.902409,0.3030,580.7030,9.046442,3.267765,193.4645,206.5355
110.0,1.919862,0.3058,573.5764,8.825764,3.188051,193.6239,206.3761
111.0,1.937315,0.3085,566.4062,8.606484,3.108843,193.7823,206.2177
112.0,1.954769,0.3113,559.1929,8.388668,3.030163,193.9397,206.0603
113.0,1.972222,0.3141,551.9370,8.172383,2.952036,194.0959,205.9041
114.0,1.989675,0.3169,544.6390,7.957694,2.874486,194.2510,205.7490
115.0,2.007129,0.3197,537.2996,7.744667,2.797536,194.4049,205.5951
116.0,2.024582,0.3224,529.9193,7.533367,2.721210,194.5576,205.4424
117.0,2.042035,0.3252,522.4986,7.323858,2.645531,194.7089,205.2911
118.0,2.059489,0.3280,515.0381,7.116204,2.570522,194.8590,205.1410
119.0,2.076942,0.3308,507.5384,6.910468,2.496206,195.0076,204.9924
120.0,2.094395,0.3336,500.0000,6.706713,2.422606,195.1548,204.8452
121.0,2.111848,0.3363,492.4236,6.505001,2.349743,195.3005,204.6995
122.0,2.129302,0.3391,484.8096,6.305393,2.277640,195.4447,204.5553
123.0,2.146755,0.3419,477.1588,6.107951,2.206320,195.5874,204.4126
124.0,2.164208,0.3447,469.4716,5.912733,2.135803,195.7284,204.2716
125.0,2.181662,0.3475,461.7486,5.719801,2.066112,195.8678,204.1322
126.0,2.199115,0.3502,453.9905,5.529212,1.997267,196.0055,203.9945
127.0,2.216568,0.3530,446.1978,5.341025,1.929290,196.1414,203.8586
128.0,2.234021,0.3558,438.3711,5.155296,1.862201,196.2756,203.7244
129.0,2.251475,0.3586,430.5111,4.972083,1.796021,196.4080,203.5920
130.0,2.268928,0.3614,422.6183,4.791442,1.730769,196.5385,203.4615
131.0,2.286381,0.3641,414.6932,4.613427,1.666467,196.6671,203.3329
132.0,2.303835,0.3669,406.7366,4.438092,1.603132,196.7937,203.2063
133.0,2.321288,0.3697,398.7491,4.265491,1.540785,196.9184,203.0816
134.0,2.338741,0.3725,390.7311,4.095677,1.479445,197.0411,202.9589
135.0,2.356194,0.3753,382.6834,3.928701,1.419129,197.1617,202.8383
136.0,2.373648,0.3780,374.6066,3.764615,1.359858,197.2803,202.7197
137.0,2.391101,0.3808,366.5012,3.603467,1.301648,197.3967,202.6033
138.0,2.408554,0.3836,358.3679,3.445308,1.244518,197.5110,202.4890
139.0,2.426008,0.3864,350.2074,3.290185,1.188484,197.6230,202.3770
140.0,2.443461,0.3892,342.0201,3.138146,1.133564,197.7329,202.2671
141.0,2.460914,0.3919,333.8069,2.989236,1.079775,197.8405,202.1595
142.0,2.478368,0.3947,325.5682,2.843502,1.027133,197.9457,202.0543
143.0,2.495821,0.3975,317.3047,2.700988,0.975653,198.0487,201.9513
144.0,2.513274,0.4003,309.0170,2.561736,0.925353,198.1493,201.8507
145.0,2.530727,0.4030,300.7058,2.425791,0.876247,198.2475,201.7525
146.0,2.548181,0.4058,292.3717,2.293192,0.828349,198.3433,201.6567
147.0,2.565634,0.4086,284.0153,2.163980,0.781675,198.4366,201.5634
148.0,2.583087,0.4114,275.6374,2.038196,0.736239,198.5275,201.4725
149.0,2.600541,0.4142,267.2384,1.915876,0.692055,198.6159,201.3841
150.0,2.617994,0.4169,258.8190,1.797058,0.649135,198.7017,201.2983
151.0,2.635447,0.4197,250.3800,1.681779,0.607494,198.7850,201.2150
152.0,2.652900,0.4225,241.9219,1.570074,0.567144,198.8657,201.1343
153.0,2.670354,0.4253,233.4454,1.461976,0.528096,198.9438,201.0562
154.0,2.687807,0.4281,224.9511,1.357519,0.490364,199.0193,200.9807
155.0,2.705260,0.4308,216.4396,1.256734,0.453959,199.0921,200.9079
156.0,2.722714,0.4336,207.9117,1.159652,0.418891,199.1622,200.8378
157.0,2.740167,0.4364,199.3679,1.066302,0.385171,199.2297,200.7703
158.0,2.757620,0.4392,190.8090,0.976714,0.352810,199.2944,200.7056
159.0,2.775074,0.4420,182.2355,0.890914,0.321817,199.3564,200.6436
160.0,2.792527,0.4447,173.6482,0.808929,0.292202,199.4156,200.5844
161.0,2.809980,0.4475,165.0476,0.730783,0.263974,199.4721,200.5279
162.0,2.827433,0.4503,156.4345,0.656500,0.237142,199.5257,200.4743
163.0,2.844887,0.4531,147.8094,0.586103,0.211713,199.5766,200.4234
164.0,2.862340,0.4559,139.1731,0.519613,0.187695,199.6246,200.3754
165.0,2.879793,0.4586,130.5262,0.457051,0.165097,199.6698,200.3302
166.0,2.897247,0.4614,121.8693,0.398436,0.143923,199.7122,200.2878
167.0,2.914700,0.4642,113.2032,0.343785,0.124182,199.7516,200.2484
168.0,2.932153,0.4670,104.5285,0.293116,0.105879,199.7882,200.2118
169.0,2.949606,0.4698,95.8458,0.246442,0.089020,199.8220,200.1780
