t_s,sigma_norm,eps_single_pct,eps_mod_pct,eps_mod_fast_pct,eps_mod_slow_pct
0.000000,1.0,0.000000,0.000000,0.000000,0.000000
0.002501,1.0,0.084872,0.098454,0.084240,0.014214
0.005003,1.0,0.168899,0.194824,0.166398,0.028425
0.007504,1.0,0.252090,0.289160,0.246527,0.042633
0.010005,1.0,0.334453,0.381514,0.324677,0.056837
0.012506,1.0,0.415996,0.471933,0.400896,0.071037
0.015008,1.0,0.496726,0.560466,0.475233,0.085234
0.017509,1.0,0.576654,0.647160,0.547733,0.099427
0.020010,1.0,0.655785,0.732059,0.618442,0.113616
0.022511,1.0,0.734129,0.815207,0.687405,0.127802
0.025013,1.0,0.811693,0.896649,0.754664,0.141985
0.027514,1.0,0.888485,0.976426,0.820262,0.156164
0.030015,1.0,0.964512,1.054578,0.884239,0.170339
0.032516,1.0,1.039782,1.131147,0.946636,0.184511
0.035018,1.0,1.114303,1.206171,1.007491,0.198679
0.037519,1.0,1.188082,1.279688,1.066844,0.212844
0.040020,1.0,1.261127,1.351735,1.124730,0.227005
0.042521,1.0,1.333445,1.422349,1.181186,0.241163
0.045023,1.0,1.405042,1.491565,1.236247,0.255317
0.047524,1.0,1.475927,1.559417,1.289949,0.269468
0.050025,1.0,1.546106,1.625939,1.342324,0.283615
0.052526,1.0,1.615587,1.691163,1.393405,0.297758
0.055028,1.0,1.684375,1.755123,1.443224,0.311898
0.057529,1.0,1.752480,1.817848,1.491813,0.326035
0.060030,1.0,1.819906,1.879369,1.539201,0.340168
0.062531,1.0,1.886660,1.939716,1.585419,0.354297
0.065033,1.0,1.952751,1.998918,1.630495,0.368423
0.067534,1.0,2.018183,2.057003,1.674458,0.382545
0.070035,1.0,2.082964,2.113998,1.717334,0.396664
0.072536,1.0,2.147100,2.169931,1.759152,0.410780
0.075038,1.0,2.210598,2.224827,1.799936,0.424891
0.077539,1.0,2.273463,2.278713,1.839713,0.438999
0.080040,1.0,2.335703,2.331612,1.878508,0.453104
0.082541,1.0,2.397323,2.383549,1.916344,0.467205
0.085043,1.0,2.458329,2.434548,1.953245,0.481303
0.087544,1.0,2.518728,2.484632,1.989235,0.495397
0.090045,1.0,2.578526,2.533824,2.024336,0.509488
0.092546,1.0,2.637729,2.582145,2.058570,0.523575
0.095048,1.0,2.696342,2.629616,2.091958,0.537658
0.097549,1.0,2.754372,2.676260,2.124522,0.551738
0.100050,1.0,2.811824,2.722095,2.156281,0.565815
0.102551,1.0,2.868704,2.767143,2.187255,0.579888
0.105053,1.0,2.925018,2.811421,2.217464,0.593957
0.107554,1.0,2.980771,2.854950,2.246928,0.608023
0.110055,1.0,3.035970,2.897748,2.275663,0.622085
0.112556,1.0,3.090618,2.939833,2.303688,0.636144
0.115058,1.0,3.144723,2.981221,2.331022,0.650200
0.117559,1.0,3.198289,3.021931,2.357680,0.664251
0.120060,1.0,3.251322,3.061979,2.383679,0.678300
