t_s,eps_single_pct,eps_mod_pct,sigma_on
0.000000,0.000000,0.000000,1
0.006001,0.202216,0.232731,1
0.012002,0.399635,0.453872,1
0.018004,0.592372,0.664097,1
0.024005,0.780537,0.864040,1
0.030006,0.964239,1.054300,1
0.036007,1.143584,1.235438,1
0.042008,1.318675,1.407985,1
0.048010,1.489613,1.572441,1
0.054011,1.656497,1.729275,1
0.060012,1.819422,1.878930,1
0.066013,1.978483,2.021823,1
0.072014,2.133771,2.158348,1
0.078016,2.285376,2.288873,1
0.084017,2.433385,2.413746,1
0.090018,2.577884,2.533297,1
0.096019,2.718955,2.647833,1
0.102020,2.856679,2.757647,1
0.108022,2.991138,2.863010,1
0.114023,3.122407,2.964183,1
0.120024,3.250562,3.061407,1
0.126025,3.375678,3.154911,1
0.132026,3.497826,3.244911,1
0.138028,3.617077,3.331610,1
0.144029,3.733499,3.415199,1
0.150030,3.847160,3.495858,1
0.156031,3.958125,3.573757,1
0.162032,4.066458,3.649054,1
0.168034,4.172222,3.721901,1
0.174035,4.275477,3.792439,1
0.180036,4.376282,3.860801,1
0.186037,4.474697,3.927113,1
0.192038,4.570778,3.991493,1
0.198040,4.664579,4.054053,1
0.204041,4.756156,4.114897,1
0.210042,4.845560,4.174125,1
0.216043,4.932844,4.231828,1
0.222044,5.018058,4.288095,1
0.228046,5.101251,4.343009,1
0.234047,5.182470,4.396646,1
0.240048,5.261763,4.449081,1
0.246049,5.339175,4.500381,1
0.252050,5.414751,4.550613,1
0.258052,5.488534,4.599837,1
0.264053,5.560567,4.648110,1
0.270054,5.630892,4.695487,1
0.276055,5.699549,4.742019,1
0.282056,5.766577,4.787754,1
0.288058,5.832016,4.832737,1
0.294059,5.895902,4.877011,1
0.300060,5.958273,4.920616,1
0.306061,6.019164,4.963590,1
0.312062,6.078612,5.005969,1
0.318064,6.136649,5.047785,1
0.324065,6.193310,5.089071,1
0.330066,6.248626,5.129857,1
0.336067,6.302631,5.170169,1
0.342068,6.355355,5.210036,1
0.348070,6.406828,5.249481,1
0.354071,6.457080,5.288528,1
0.360072,6.506141,5.327200,1
0.366073,6.554038,5.365516,1
0.372074,6.600798,5.403496,1
0.378076,6.646450,5.441159,1
0.384077,6.691019,5.478522,1
0.390078,6.734530,5.515602,1
0.396079,6.777010,5.552414,1
0.402080,6.818482,5.588972,1
0.408082,6.858970,5.625290,1
0.414083,6.898498,5.661380,1
0.420084,6.937088,5.697256,1
0.426085,6.974763,5.732928,1
0.432086,7.011545,5.768407,1
0.438088,7.047454,5.803703,1
0.444089,7.082511,5.838825,1
0.450090,7.116737,5.873784,1
0.456091,7.150151,5.908586,1
0.462092,7.182773,5.943241,1
0.468094,7.214620,5.977755,1
0.474095,7.245713,6.012135,1
0.480096,7.276067,6.046389,1
0.486097,7.305702,6.080522,1
0.492098,7.334634,6.114541,1
0.498100,7.362880,6.148450,1
0.504101,7.251750,6.021936,0
0.510102,7.079746,5.830906,0
0.516103,6.911822,5.650908,0
0.522104,6.747881,5.481298,0
0.528106,6.587828,5.321471,0
0.534107,6.431571,5.170858,0
0.540108,6.279021,5.028923,0
0.546109,6.130089,4.895159,0
0.552110,5.984690,4.769091,0
0.558112,5.842739,4.650270,0
0.564113,5.704155,4.538275,0
0.570114,5.568858,4.432709,0
0.576115,5.436771,4.333195,0
0.582116,5.307816,4.239383,0
0.588118,5.181920,4.150940,0
0.594119,5.059010,4.067554,0
0.600120,4.939016,3.988929,0
0.606121,4.821867,3.914789,0
0.612122,4.707498,3.844873,0
0.618124,4.595841,3.778934,0
0.624125,4.486832,3.716741,0
0.630126,4.380409,3.658076,0
0.636127,4.276510,3.602733,0
0.642128,4.175076,3.550519,0
0.648130,4.076047,3.501252,0
0.654131,3.979367,3.454760,0
0.660132,3.884981,3.410882,0
0.666133,3.792833,3.369465,0
0.672134,3.702871,3.330366,0
0.678136,3.615043,3.293450,0
0.684137,3.529298,3.258590,0
0.690138,3.445586,3.225666,0
0.696139,3.363860,3.194566,0
0.702140,3.284073,3.165184,0
0.708142,3.206178,3.137418,0
0.714143,3.130131,3.111176,0
0.720144,3.055887,3.086369,0
0.726145,2.983405,3.062913,0
0.732146,2.912642,3.040729,0
0.738148,2.843557,3.019744,0
0.744149,2.776111,2.999887,0
0.750150,2.710264,2.981094,0
0.756151,2.645979,2.963301,0
0.762152,2.583219,2.946451,0
0.768154,2.521948,2.930490,0
0.774155,2.462130,2.915364,0
0.780156,2.403731,2.901027,0
0.786157,2.346717,2.887431,0
0.792158,2.291055,2.874534,0
0.798160,2.236714,2.862295,0
0.804161,2.183661,2.850675,0
0.810162,2.131867,2.839640,0
0.816163,2.081301,2.829154,0
0.822164,2.031935,2.819186,0
0.828166,1.983739,2.809706,0
0.834167,1.936687,2.800685,0
0.840168,1.890751,2.792097,0
0.846169,1.845904,2.783916,0
0.852170,1.802121,2.776119,0
0.858172,1.759377,2.768684,0
0.864173,1.717646,2.761589,0
0.870174,1.676905,2.754815,0
0.876175,1.637131,2.748343,0
0.882176,1.598300,2.742156,0
0.888178,1.560390,2.736237,0
0.894179,1.523379,2.730570,0
0.900180,1.487246,2.725141,0
0.906181,1.451970,2.719936,0
0.912182,1.417531,2.714942,0
0.918184,1.383908,2.710147,0
0.924185,1.351083,2.705540,0
0.930186,1.319037,2.701109,0
0.936187,1.287751,2.696843,0
0.942188,1.257207,2.692735,0
0.948190,1.227387,2.688774,0
0.954191,1.198275,2.684952,0
0.960192,1.169853,2.681261,0
0.966193,1.142105,2.677694,0
0.972194,1.115016,2.674242,0
0.978196,1.088569,2.670901,0
0.984197,1.062749,2.667662,0
0.990198,1.037542,2.664521,0
0.996199,1.012932,2.661471,0
1.002200,0.988906,2.658508,0
1.008202,0.965451,2.655626,0
1.014203,0.942551,2.652820,0
1.020204,0.920195,2.650087,0
1.026205,0.898369,2.647422,0
1.032206,0.877060,2.644822,0
1.038208,0.856257,2.642282,0
1.044209,0.835948,2.639799,0
1.050210,0.816120,2.637369,0
1.056211,0.796762,2.634991,0
1.062212,0.777864,2.632660,0
1.068214,0.759414,2.630374,0
1.074215,0.741401,2.628131,0
1.080216,0.723816,2.625928,0
1.086217,0.706648,2.623763,0
1.092218,0.689887,2.621633,0
1.098220,0.673523,2.619537,0
1.104221,0.657548,2.617473,0
1.110222,0.641952,2.615438,0
1.116223,0.626725,2.613432,0
1.122224,0.611860,2.611453,0
1.128226,0.597347,2.609499,0
1.134227,0.583179,2.607568,0
1.140228,0.569347,2.605660,0
1.146229,0.555842,2.603773,0
1.152230,0.542658,2.601906,0
1.158232,0.529787,2.600058,0
1.164233,0.517221,2.598228,0
1.170234,0.504953,2.596414,0
1.176235,0.492976,2.594617,0
1.182236,0.481283,2.592835,0
1.188238,0.469868,2.591066,0
1.194239,0.458723,2.589312,0
1.200240,0.447842,2.587570,0
1.206241,0.437220,2.585840,0
1.212242,0.426850,2.584121,0
1.218244,0.416725,2.582413,0
1.224245,0.406841,2.580715,0
1.230246,0.397191,2.579027,0
1.236247,0.387770,2.577349,0
1.242248,0.378573,2.575678,0
1.248250,0.369593,2.574016,0
1.254251,0.360827,2.572362,0
1.260252,0.352268,2.570715,0
1.266253,0.343913,2.569076,0
1.272254,0.335756,2.567443,0
1.278256,0.327792,2.565816,0
1.284257,0.320017,2.564195,0
1.290258,0.312426,2.562580,0
1.296259,0.305016,2.560970,0
1.302260,0.297781,2.559366,0
1.308262,0.290718,2.557767,0
1.314263,0.283823,2.556172,0
1.320264,0.277091,2.554581,0
1.326265,0.270518,2.552995,0
1.332266,0.264102,2.551413,0
1.338268,0.257838,2.549835,0
1.344269,0.251722,2.548261,0
1.350270,0.245752,2.546690,0
1.356271,0.239923,2.545122,0
1.362272,0.234232,2.543558,0
1.368274,0.228676,2.541997,0
1.374275,0.223252,2.540439,0
1.380276,0.217957,2.538884,0
1.386277,0.212787,2.537331,0
1.392278,0.207740,2.535781,0
1.398280,0.202813,2.534234,0
1.404281,0.198002,2.532689,0
1.410282,0.193306,2.531146,0
1.416283,0.188721,2.529606,0
1.422284,0.184244,2.528068,0
1.428286,0.179874,2.526532,0
1.434287,0.175608,2.524998,0
1.440288,0.171443,2.523466,0
1.446289,0.167376,2.521936,0
1.452290,0.163406,2.520408,0
1.458292,0.159530,2.518882,0
1.464293,0.155747,2.517357,0
1.470294,0.152052,2.515834,0
1.476295,0.148446,2.514313,0
1.482296,0.144925,2.512793,0
1.488298,0.141487,2.511275,0
1.494299,0.138131,2.509758,0
1.500300,0.134855,2.508243,0
1.506301,0.131657,2.506730,0
1.512302,0.128534,2.505217,0
1.518304,0.125485,2.503707,0
1.524305,0.122509,2.502197,0
1.530306,0.119603,2.500689,0
1.536307,0.116766,2.499182,0
1.542308,0.113996,2.497677,0
1.548310,0.111293,2.496172,0
1.554311,0.108653,2.494669,0
1.560312,0.106076,2.493168,0
1.566313,0.103560,2.491667,0
1.572314,0.101103,2.490168,0
1.578316,0.098705,2.488669,0
1.584317,0.096364,2.487172,0
1.590318,0.094078,2.485676,0
1.596319,0.091847,2.484181,0
1.602320,0.089669,2.482688,0
1.608322,0.087542,2.481195,0
1.614323,0.085465,2.479703,0
1.620324,0.083438,2.478213,0
1.626325,0.081459,2.476724,0
1.632326,0.079527,2.475235,0
1.638328,0.077641,2.473748,0
1.644329,0.075799,2.472261,0
1.650330,0.074001,2.470776,0
1.656331,0.072246,2.469292,0
1.662332,0.070532,2.467809,0
1.668334,0.068859,2.466326,0
1.674335,0.067226,2.464845,0
1.680336,0.065632,2.463365,0
1.686337,0.064075,2.461885,0
1.692338,0.062555,2.460407,0
1.698340,0.061071,2.458930,0
1.704341,0.059623,2.457453,0
1.710342,0.058209,2.455978,0
1.716343,0.056828,2.454503,0
1.722344,0.055480,2.453030,0
1.728346,0.054164,2.451557,0
1.734347,0.052879,2.450085,0
1.740348,0.051625,2.448615,0
1.746349,0.050401,2.447145,0
1.752350,0.049205,2.445676,0
1.758352,0.048038,2.444208,0
1.764353,0.046899,2.442741,0
1.770354,0.045786,2.441275,0
1.776355,0.044700,2.439809,0
1.782356,0.043640,2.438345,0
1.788358,0.042605,2.436882,0
1.794359,0.041594,2.435419,0
1.800360,0.040608,2.433958,0
1.806361,0.039645,2.432497,0
1.812362,0.038704,2.431037,0
1.818364,0.037786,2.429578,0
1.824365,0.036890,2.428120,0
1.830366,0.036015,2.426663,0
1.836367,0.035161,2.425207,0
1.842368,0.034327,2.423752,0
1.848370,0.033513,2.422298,0
1.854371,0.032718,2.420844,0
1.860372,0.031942,2.419391,0
1.866373,0.031184,2.417940,0
1.872374,0.030444,2.416489,0
1.878376,0.029722,2.415039,0
1.884377,0.029017,2.413590,0
1.890378,0.028329,2.412142,0
1.896379,0.027657,2.410694,0
1.902380,0.027001,2.409248,0
1.908382,0.026361,2.407802,0
1.914383,0.025735,2.406358,0
1.920384,0.025125,2.404914,0
1.926385,0.024529,2.403471,0
1.932386,0.023947,2.402029,0
1.938388,0.023379,2.400588,0
1.944389,0.022825,2.399147,0
