T_on_s,T_on_over_tau1,peak_single_pct,peak_mod_pct,peak_mod_fast_pct,peak_mod_slow_pct
0.010000,0.1000,0.334289,0.381331,0.324523,0.056808
0.010353,0.1035,0.345854,0.394216,0.335403,0.058814
0.010719,0.1072,0.357810,0.407516,0.346627,0.060890
0.011098,0.1110,0.370170,0.421243,0.358204,0.063040
0.011490,0.1149,0.382947,0.435408,0.370144,0.065265
0.011895,0.1190,0.396155,0.450025,0.382456,0.067569
0.012316,0.1232,0.409806,0.465105,0.395151,0.069954
0.012751,0.1275,0.423915,0.480661,0.408238,0.072423
0.013201,0.1320,0.438497,0.496707,0.421727,0.074980
0.013667,0.1367,0.453566,0.513256,0.435630,0.077626
0.014150,0.1415,0.469138,0.530321,0.449955,0.080366
0.014650,0.1465,0.485228,0.547916,0.464713,0.083203
0.015167,0.1517,0.501852,0.566055,0.479915,0.086140
0.015703,0.1570,0.519028,0.584752,0.495572,0.089180
0.016258,0.1626,0.536772,0.604020,0.511693,0.092327
0.016832,0.1683,0.555101,0.623876,0.528290,0.095586
0.017426,0.1743,0.574033,0.644332,0.545373,0.098959
0.018042,0.1804,0.593586,0.665404,0.562953,0.102451
0.018679,0.1868,0.613779,0.687106,0.581040,0.106067
0.019339,0.1934,0.634632,0.709454,0.599644,0.109810
0.020022,0.2002,0.656163,0.732462,0.618777,0.113684
0.020729,0.2073,0.678393,0.756145,0.638449,0.117696
0.021461,0.2146,0.701341,0.780518,0.658669,0.121848
0.022219,0.2222,0.725030,0.805596,0.679449,0.126148
0.023004,0.2300,0.749480,0.831395,0.700797,0.130598
0.023817,0.2382,0.774712,0.857928,0.722723,0.135206
0.024658,0.2466,0.800750,0.885212,0.745236,0.139976
0.025529,0.2553,0.827615,0.913260,0.768347,0.144913
0.026431,0.2643,0.855331,0.942087,0.792062,0.150025
0.027364,0.2736,0.883921,0.971708,0.816391,0.155317
0.028331,0.2833,0.913408,1.002136,0.841341,0.160796
0.029332,0.2933,0.943816,1.033386,0.866919,0.166467
0.030368,0.3037,0.975171,1.065470,0.893132,0.172338
0.031440,0.3144,1.007497,1.098403,0.919987,0.178416
0.032551,0.3255,1.040819,1.132196,0.947489,0.184707
0.033701,0.3370,1.075162,1.166862,0.975642,0.191220
0.034891,0.3489,1.110552,1.202413,1.004450,0.197963
0.036123,0.3612,1.147015,1.238860,1.033917,0.204943
0.037399,0.3740,1.184578,1.276212,1.064044,0.212168
0.038720,0.3872,1.223265,1.314481,1.094833,0.219648
0.040088,0.4009,1.263104,1.353675,1.126284,0.227391
0.041504,0.4150,1.304122,1.393802,1.158396,0.235406
0.042970,0.4297,1.346344,1.434870,1.191167,0.243703
0.044488,0.4449,1.389797,1.476884,1.224593,0.252292
0.046059,0.4606,1.434508,1.519851,1.258668,0.261183
0.047686,0.4769,1.480504,1.563775,1.293388,0.270386
0.049370,0.4937,1.527809,1.608658,1.328744,0.279913
0.051114,0.5111,1.576451,1.654502,1.364727,0.289775
