param_name,param_value,peak_strain_pct,residual_strain_pct
E1_Pa,50.00,39.163401,15.457704
E1_Pa,53.91,38.360172,14.888652
E1_Pa,58.12,37.602399,14.392583
E1_Pa,62.67,36.883205,13.964343
E1_Pa,67.57,36.195922,13.598735
E1_Pa,72.85,35.534163,13.290488
E1_Pa,78.55,34.891901,13.034240
E1_Pa,84.69,34.263562,12.824553
E1_Pa,91.31,33.644133,12.655957
E1_Pa,98.45,33.029259,12.523013
E1_Pa,106.15,32.415344,12.420410
E1_Pa,114.45,31.799612,12.343070
E1_Pa,123.40,31.180157,12.286257
E1_Pa,133.05,30.555942,12.245678
E1_Pa,143.45,29.926769,12.217565
E1_Pa,154.67,29.293209,12.198721
E1_Pa,166.76,28.656508,12.186531
E1_Pa,179.80,28.018469,12.178944
E1_Pa,193.86,27.381331,12.174412
E1_Pa,209.01,26.747643,12.171823
E1_Pa,225.36,26.120145,12.170412
E1_Pa,242.98,25.501658,12.169683
E1_Pa,261.98,24.894988,12.169325
E1_Pa,282.46,24.302835,12.169160
E1_Pa,304.55,23.727713,12.169088
E1_Pa,328.36,23.171891,12.169059
E1_Pa,354.03,22.637329,12.169049
E1_Pa,381.71,22.125641,12.169045
E1_Pa,411.56,21.638062,12.169043
E1_Pa,443.74,21.175439,12.169043
E1_Pa,478.44,20.738229,12.169043
E1_Pa,515.84,20.326519,12.169043
E1_Pa,556.18,19.940058,12.169043
E1_Pa,599.66,19.578299,12.169043
E1_Pa,646.55,19.240452,12.169043
E1_Pa,697.11,18.925535,12.169043
E1_Pa,751.61,18.632433,12.169043
E1_Pa,810.38,18.359944,12.169043
E1_Pa,873.74,18.106831,12.169043
E1_Pa,942.06,17.871851,12.169043
E1_Pa,1015.72,17.653792,12.169043
E1_Pa,1095.14,17.451482,12.169043
E1_Pa,1180.77,17.263814,12.169043
E1_Pa,1273.09,17.089740,12.169043
E1_Pa,1372.63,16.928285,12.169043
E1_Pa,1479.96,16.778535,12.169043
E1_Pa,1595.68,16.639644,12.169043
E1_Pa,1720.44,16.510825,12.169043
E1_Pa,1854.96,16.391348,12.169043
E1_Pa,2000.00,16.280536,12.169043
E2_Pa,5.00,27.309980,20.968515
E2_Pa,5.49,27.131582,20.727769
E2_Pa,6.03,26.938123,20.467279
E2_Pa,6.63,26.728594,20.185837
E2_Pa,7.28,26.501971,19.882243
E2_Pa,8.00,26.257225,19.555324
E2_Pa,8.79,25.993340,19.203959
E2_Pa,9.65,25.709328,18.827106
E2_Pa,10.60,25.404250,18.423833
E2_Pa,11.65,25.077244,17.993355
E2_Pa,12.80,24.727547,17.535075
E2_Pa,14.06,24.354532,17.048627
E2_Pa,15.44,23.957745,16.533927
E2_Pa,16.97,23.536935,15.991217
E2_Pa,18.64,23.092106,15.421119
E2_Pa,20.47,22.623550,14.824682
E2_Pa,22.49,22.131896,14.203423
E2_Pa,24.71,21.618144,13.559369
E2_Pa,27.14,21.083707,12.895076
E2_Pa,29.82,20.530434,12.213643
E2_Pa,32.76,19.960630,11.518699
E2_Pa,35.98,19.377060,10.814375
E2_Pa,39.53,18.782933,10.105241
E2_Pa,43.43,18.181872,9.396220
E2_Pa,47.70,17.577850,8.692478
E2_Pa,52.41,16.975115,7.999279
E2_Pa,57.57,16.378080,7.321830
E2_Pa,63.24,15.791198,6.665104
E2_Pa,69.47,15.218820,6.033674
E2_Pa,76.32,14.665046,5.431546
E2_Pa,83.84,14.133574,4.862029
E2_Pa,92.10,13.627563,4.327637
E2_Pa,101.18,13.149529,3.830043
E2_Pa,111.15,12.701262,3.370079
E2_Pa,122.10,12.283797,2.947801
E2_Pa,134.13,11.897424,2.562584
E2_Pa,147.35,11.541743,2.213259
E2_Pa,161.87,11.215755,1.898256
E2_Pa,177.82,10.917972,1.615755
E2_Pa,195.35,10.646539,1.363808
E2_Pa,214.60,10.399349,1.140436
E2_Pa,235.74,10.174143,0.943702
E2_Pa,258.97,9.968584,0.771736
E2_Pa,284.49,9.780315,0.622747
E2_Pa,312.53,9.606993,0.495011
E2_Pa,343.32,9.446310,0.386842
E2_Pa,377.16,9.296018,0.296571
E2_Pa,414.32,9.153950,0.222513
E2_Pa,455.15,9.018054,0.162954
E2_Pa,500.00,8.886435,0.116144
tau1_s,0.0100,20.532234,12.169043
tau1_s,0.0111,20.532234,12.169043
tau1_s,0.0124,20.532234,12.169043
tau1_s,0.0138,20.532234,12.169043
tau1_s,0.0154,20.532234,12.169043
tau1_s,0.0172,20.532234,12.169043
tau1_s,0.0191,20.532234,12.169043
tau1_s,0.0213,20.532234,12.169043
tau1_s,0.0238,20.532234,12.169043
tau1_s,0.0265,20.532234,12.169043
tau1_s,0.0295,20.532234,12.169043
tau1_s,0.0329,20.532233,12.169043
tau1_s,0.0366,20.532228,12.169043
tau1_s,0.0408,20.532207,12.169043
tau1_s,0.0454,20.532140,12.169043
tau1_s,0.0506,20.531943,12.169043
tau1_s,0.0564,20.531433,12.169043
tau1_s,0.0629,20.530246,12.169043
tau1_s,0.0700,20.527740,12.169043
tau1_s,0.0780,20.522892,12.169043
tau1_s,0.0869,20.514217,12.169043
tau1_s,0.0969,20.499749,12.169043
tau1_s,0.1079,20.477096,12.169043
tau1_s,0.1202,20.443588,12.169043
tau1_s,0.1340,20.396485,12.169045
tau1_s,0.1493,20.333237,12.169051
tau1_s,0.1663,20.251736,12.169075
tau1_s,0.1853,20.150528,12.169152
tau1_s,0.2065,20.028959,12.169364
tau1_s,0.2301,19.887250,12.169885
tau1_s,0.2563,19.726487,12.171031
tau1_s,0.2856,19.548569,12.173303
tau1_s,0.3182,19.356101,12.177416
tau1_s,0.3545,19.152267,12.184266
tau1_s,0.3950,18.940664,12.194842
tau1_s,0.4401,18.725113,12.210098
tau1_s,0.4904,18.509446,12.230796
tau1_s,0.5464,18.297285,12.257381
tau1_s,0.6088,18.091843,12.289901
tau1_s,0.6783,17.895767,12.328003
tau1_s,0.7558,17.711057,12.370987
tau1_s,0.8421,17.539048,12.417906
tau1_s,0.9382,17.380450,12.467677
tau1_s,1.0454,17.235439,12.519190
tau1_s,1.1647,17.103758,12.571393
tau1_s,1.2977,16.984817,12.623342
tau1_s,1.4459,16.877784,12.674233
tau1_s,1.6111,16.781648,12.723393
tau1_s,1.7950,16.695267,12.770258
tau1_s,2.0000,16.617404,12.814341
tau2_s,1.0000,46.130899,5.481101
tau2_s,1.0985,44.132330,6.234531
tau2_s,1.2068,42.298707,6.990962
tau2_s,1.3257,40.622407,7.740653
tau2_s,1.4563,39.093725,8.475184
tau2_s,1.5999,37.701376,9.187378
tau2_s,1.7575,36.432859,9.871092
tau2_s,1.9307,35.274720,10.520906
tau2_s,2.1210,34.212790,11.131799
tau2_s,2.3300,33.232441,11.698852
tau2_s,2.5595,32.318891,12.217043
tau2_s,2.8118,31.457586,12.681175
tau2_s,3.0888,30.634621,13.085958
tau2_s,3.3932,29.837185,13.426210
tau2_s,3.7276,29.053965,13.697168
tau2_s,4.0949,28.275483,13.894837
tau2_s,4.4984,27.494317,14.016330
tau2_s,4.9417,26.705204,14.060148
tau2_s,5.4287,25.905007,14.026364
tau2_s,5.9636,25.092576,13.916693
tau2_s,6.5513,24.268511,13.734445
tau2_s,7.1969,23.434869,13.484375
tau2_s,7.9060,22.594837,13.172462
tau2_s,8.6851,21.752396,12.805627
tau2_s,9.5410,20.912007,12.391434
tau2_s,10.4811,20.078329,11.937788
tau2_s,11.5140,19.255979,11.452660
tau2_s,12.6486,18.449338,10.943839
tau2_s,13.8950,17.662410,10.418736
tau2_s,15.2642,16.898723,9.884225
tau2_s,16.7683,16.161267,9.346542
tau2_s,18.4207,15.452476,8.811211
tau2_s,20.2359,14.774225,8.283022
tau2_s,22.2300,14.127855,7.766026
tau2_s,24.4205,13.514210,7.263563
tau2_s,26.8270,12.933687,6.778303
tau2_s,29.4705,12.386287,6.312301
tau2_s,32.3746,11.871668,5.867056
tau2_s,35.5648,11.389206,5.443579
tau2_s,39.0694,10.938039,5.042455
tau2_s,42.9193,10.517121,4.663910
tau2_s,47.1487,10.125264,4.307863
tau2_s,51.7947,9.761176,3.973989
tau2_s,56.8987,9.423495,3.661759
tau2_s,62.5055,9.110819,3.370494
tau2_s,68.6649,8.821731,3.099393
tau2_s,75.4312,8.554819,2.847573
tau2_s,82.8643,8.308689,2.614093
tau2_s,91.0298,8.081982,2.397979
tau2_s,100.0000,7.873384,2.198242
