t_s,protocol,eps_mod_pct,sigma_on
0.000000,short_100ms,0.000000,1
0.005168,short_100ms,0.201143,1
0.010337,short_100ms,0.393618,1
0.015505,short_100ms,0.577861,1
0.020674,short_100ms,0.754286,1
0.025842,short_100ms,0.923286,1
0.031010,short_100ms,1.085235,1
0.036179,short_100ms,1.240486,1
0.041347,short_100ms,1.389377,1
0.046516,short_100ms,1.532227,1
0.051684,short_100ms,1.669340,1
0.056852,short_100ms,1.801003,1
0.062021,short_100ms,1.927491,1
0.067189,short_100ms,2.049063,1
0.072357,short_100ms,2.165967,1
0.077526,short_100ms,2.278437,1
0.082694,short_100ms,2.386695,1
0.087863,short_100ms,2.490952,1
0.093031,short_100ms,2.591410,1
0.098199,short_100ms,2.688259,1
0.103368,short_100ms,2.649607,0
0.108536,short_100ms,2.544328,0
0.113705,short_100ms,2.444338,0
0.118873,short_100ms,2.349370,0
0.124041,short_100ms,2.259171,0
0.129210,short_100ms,2.173501,0
0.134378,short_100ms,2.092131,0
0.139547,short_100ms,2.014846,0
0.144715,short_100ms,1.941439,0
0.149883,short_100ms,1.871716,0
0.155052,short_100ms,1.805489,0
0.160220,short_100ms,1.742585,0
0.165388,short_100ms,1.682834,0
0.170557,short_100ms,1.626078,0
0.175725,short_100ms,1.572167,0
0.180894,short_100ms,1.520957,0
0.186062,short_100ms,1.472312,0
0.191230,short_100ms,1.426103,0
0.196399,short_100ms,1.382207,0
0.201567,short_100ms,1.340507,0
0.206736,short_100ms,1.300894,0
0.211904,short_100ms,1.263262,0
0.217072,short_100ms,1.227510,0
0.222241,short_100ms,1.193546,0
0.227409,short_100ms,1.161277,0
0.232578,short_100ms,1.130620,0
0.237746,short_100ms,1.101492,0
0.242914,short_100ms,1.073818,0
0.248083,short_100ms,1.047523,0
0.253251,short_100ms,1.022538,0
0.258419,short_100ms,0.998797,0
0.263588,short_100ms,0.976238,0
0.268756,short_100ms,0.954800,0
0.273925,short_100ms,0.934428,0
0.279093,short_100ms,0.915069,0
0.284261,short_100ms,0.896669,0
0.289430,short_100ms,0.879183,0
0.294598,short_100ms,0.862563,0
0.299767,short_100ms,0.846765,0
0.304935,short_100ms,0.831750,0
0.310103,short_100ms,0.817476,0
0.315272,short_100ms,0.803907,0
0.320440,short_100ms,0.791007,0
0.325609,short_100ms,0.778743,0
0.330777,short_100ms,0.767082,0
0.335945,short_100ms,0.755994,0
0.341114,short_100ms,0.745451,0
