t_s,D_compressed_um,D_extended_um,eps_axial_pct,sigma_on
0.000000,200.0000,200.0000,0.000000,1
0.009377,199.2830,200.3585,0.358522,1
0.018755,198.6207,200.6897,0.689672,1
0.028132,198.0082,200.9959,0.995893,1
0.037509,197.4412,201.2794,1.279415,1
0.046887,196.9155,201.5423,1.542263,1
0.056264,196.4274,201.7863,1.786285,1
0.065641,195.9737,202.0132,2.013160,1
0.075019,195.5512,202.2244,2.224419,1
0.084396,195.1571,202.4215,2.421457,1
0.093773,194.7889,202.6055,2.605540,1
0.103151,194.4444,202.7778,2.777825,1
0.112528,194.1213,202.9394,2.939363,1
0.121905,193.8178,203.0911,3.091112,1
0.131283,193.5321,203.2339,3.233943,1
0.140660,193.2627,203.3687,3.368651,1
0.150038,193.0081,203.4960,3.495957,1
0.159415,192.7670,203.6165,3.616522,1
0.168792,192.5381,203.7309,3.730942,1
0.178170,192.3205,203.8398,3.839765,1
0.187547,192.1130,203.9435,3.943486,1
0.196924,191.9149,204.0426,4.042559,1
0.206302,191.7252,204.1374,4.137394,1
0.215679,191.5433,204.2284,4.228367,1
0.225056,191.3684,204.3158,4.315819,1
0.234434,191.1999,204.4001,4.400061,1
0.243811,191.0372,204.4814,4.481376,1
0.253188,190.8800,204.5600,4.560022,1
0.262566,190.7275,204.6362,4.636233,1
0.271943,190.5796,204.7102,4.710222,1
0.281320,190.4356,204.7822,4.782186,1
0.290698,190.2954,204.8523,4.852299,1
0.300075,190.1586,204.9207,4.920725,1
0.309452,190.0248,204.9876,4.987608,1
0.318830,189.8938,205.0531,5.053084,1
0.328207,189.7655,205.1173,5.117275,1
0.337584,189.6394,205.1803,5.180289,1
0.346962,189.5155,205.2422,5.242230,1
0.356339,189.3936,205.3032,5.303188,1
0.365716,189.2735,205.3632,5.363247,1
0.375094,189.1550,205.4225,5.422484,1
0.384471,189.0381,205.4810,5.480967,1
0.393848,188.9225,205.5388,5.538761,1
0.403226,188.8082,205.5959,5.595921,1
0.412603,188.6950,205.6525,5.652502,1
0.421980,188.5829,205.7086,5.708550,1
0.431358,188.4718,205.7641,5.764109,1
0.440735,188.3616,205.8192,5.819219,1
0.450113,188.2522,205.8739,5.873915,1
0.459490,188.1435,205.9282,5.928230,1
0.468867,188.0356,205.9822,5.982194,1
0.478245,187.9283,206.0358,6.035834,1
0.487622,187.8216,206.0892,6.089176,1
0.496999,187.7155,206.1422,6.142241,1
0.506377,188.1037,205.9482,5.948153,0
0.515754,188.6778,205.6611,5.661093,0
0.525131,189.2010,205.3995,5.399499,0
0.534509,189.6778,205.1611,5.161090,0
0.543886,190.1124,204.9438,4.943792,0
0.553263,190.5086,204.7457,4.745715,0
0.562641,190.8697,204.5651,4.565139,0
0.572018,191.1990,204.4005,4.400498,0
0.581395,191.4993,204.2504,4.250365,0
0.590773,191.7731,204.1134,4.113442,0
0.600150,192.0229,203.9885,3.988547,0
0.609527,192.2508,203.8746,3.874604,0
0.618905,192.4587,203.7706,3.770632,0
0.628282,192.6485,203.6757,3.675739,0
0.637659,192.8218,203.5891,3.589112,0
0.647037,192.9800,203.5100,3.510012,0
0.656414,193.1245,203.4378,3.437766,0
0.665791,193.2565,203.3718,3.371760,0
0.675169,193.3771,203.3114,3.311435,0
0.684546,193.4874,203.2563,3.256284,0
0.693923,193.5883,203.2058,3.205843,0
0.703301,193.6806,203.1597,3.159692,0
0.712678,193.7651,203.1174,3.117445,0
0.722056,193.8425,203.0788,3.078755,0
0.731433,193.9134,203.0433,3.043303,0
0.740810,193.9784,203.0108,3.010799,0
0.750188,194.0380,202.9810,2.980979,0
0.759565,194.0928,202.9536,2.953605,0
0.768942,194.1431,202.9285,2.928456,0
0.778320,194.1893,202.9053,2.905333,0
0.787697,194.2319,202.8841,2.884057,0
0.797074,194.2711,202.8645,2.864461,0
0.806452,194.3072,202.8464,2.846396,0
0.815829,194.3406,202.8297,2.829724,0
0.825206,194.3714,202.8143,2.814322,0
0.834584,194.3999,202.8001,2.800075,0
0.843961,194.4262,202.7869,2.786880,0
0.853338,194.4507,202.7746,2.774645,0
0.862716,194.4734,202.7633,2.763282,0
0.872093,194.4946,202.7527,2.752714,0
0.881470,194.5143,202.7429,2.742870,0
0.890848,194.5326,202.7337,2.733685,0
0.900225,194.5498,202.7251,2.725101,0
0.909602,194.5659,202.7171,2.717064,0
0.918980,194.5809,202.7095,2.709526,0
0.928357,194.5951,202.7024,2.702441,0
0.937734,194.6085,202.6958,2.695770,0
0.947112,194.6210,202.6895,2.689475,0
0.956489,194.6330,202.6835,2.683524,0
0.965866,194.6442,202.6779,2.677885,0
0.975244,194.6549,202.6725,2.672531,0
0.984621,194.6651,202.6674,2.667437,0
0.993998,194.6748,202.6626,2.662579,0
1.003376,194.6841,202.6579,2.657937,0
1.012753,194.6930,202.6535,2.653491,0
1.022131,194.7016,202.6492,2.649225,0
1.031508,194.7098,202.6451,2.645121,0
1.040885,194.7177,202.6412,2.641167,0
1.050263,194.7253,202.6373,2.637348,0
1.059640,194.7327,202.6337,2.633653,0
1.069017,194.7399,202.6301,2.630071,0
1.078395,194.7468,202.6266,2.626593,0
1.087772,194.7536,202.6232,2.623208,0
1.097149,194.7602,202.6199,2.619909,0
1.106527,194.7666,202.6167,2.616688,0
1.115904,194.7729,202.6135,2.613538,0
1.125281,194.7791,202.6105,2.610454,0
1.134659,194.7851,202.6074,2.607430,0
1.144036,194.7911,202.6045,2.604460,0
1.153413,194.7969,202.6015,2.601540,0
1.162791,194.8027,202.5987,2.598666,0
1.172168,194.8083,202.5958,2.595834,0
1.181545,194.8139,202.5930,2.593039,0
1.190923,194.8194,202.5903,2.590280,0
1.200300,194.8249,202.5876,2.587552,0
