p_ac_kPa,sigma0_gorkov_Pa,peak_single_pct,peak_mod_pct,D_change_um_single,D_change_um_mod
10.0000,0.011338,0.004902,0.004095,0.0098,0.0082
10.5987,0.012736,0.005506,0.004601,0.0110,0.0092
11.2332,0.014307,0.006185,0.005168,0.0124,0.0103
11.9058,0.016071,0.006948,0.005805,0.0139,0.0116
12.6186,0.018053,0.007805,0.006521,0.0156,0.0130
13.3740,0.020279,0.008767,0.007325,0.0175,0.0147
14.1747,0.022780,0.009849,0.008229,0.0197,0.0165
15.0234,0.025590,0.011063,0.009244,0.0221,0.0185
15.9228,0.028746,0.012428,0.010384,0.0249,0.0208
16.8761,0.032291,0.013960,0.011664,0.0279,0.0233
17.8865,0.036273,0.015682,0.013103,0.0314,0.0262
18.9574,0.040746,0.017616,0.014718,0.0352,0.0294
20.0923,0.045771,0.019788,0.016534,0.0396,0.0331
21.2953,0.051416,0.022229,0.018572,0.0445,0.0371
22.5702,0.057757,0.024970,0.020863,0.0499,0.0417
23.9215,0.064879,0.028049,0.023436,0.0561,0.0469
25.3536,0.072881,0.031509,0.026326,0.0630,0.0527
26.8716,0.081869,0.035394,0.029573,0.0708,0.0591
28.4804,0.091965,0.039759,0.033220,0.0795,0.0664
30.1855,0.103306,0.044663,0.037316,0.0893,0.0746
31.9927,0.116047,0.050171,0.041918,0.1003,0.0838
33.9081,0.130358,0.056358,0.047088,0.1127,0.0942
35.9381,0.146434,0.063308,0.052895,0.1266,0.1058
38.0897,0.164493,0.071116,0.059418,0.1422,0.1188
40.3702,0.184779,0.079886,0.066746,0.1598,0.1335
42.7871,0.207567,0.089738,0.074977,0.1795,0.1500
45.3488,0.233165,0.100805,0.084224,0.2016,0.1684
48.0638,0.261919,0.113236,0.094611,0.2265,0.1892
50.9414,0.294220,0.127201,0.106279,0.2544,0.2126
53.9912,0.330505,0.142888,0.119385,0.2858,0.2388
57.2237,0.371264,0.160509,0.134108,0.3210,0.2682
60.6496,0.417050,0.180304,0.150647,0.3606,0.3013
64.2807,0.468482,0.202540,0.169226,0.4051,0.3385
68.1292,0.526257,0.227518,0.190095,0.4550,0.3802
72.2081,0.591157,0.255576,0.213538,0.5112,0.4271
76.5312,0.664061,0.287095,0.239873,0.5742,0.4797
81.1131,0.745956,0.322501,0.269455,0.6450,0.5389
85.9693,0.837950,0.362273,0.302685,0.7245,0.6054
91.1163,0.941289,0.406950,0.340013,0.8139,0.6800
96.5714,1.057373,0.457137,0.381945,0.9143,0.7639
102.3531,1.187772,0.513512,0.429048,1.0270,0.8581
108.4810,1.334253,0.576841,0.481960,1.1537,0.9639
114.9757,1.498799,0.647979,0.541398,1.2960,1.0828
121.8593,1.683637,0.727891,0.608165,1.4558,1.2163
129.1550,1.891270,0.817657,0.683166,1.6353,1.3663
136.8875,2.124509,0.918494,0.767417,1.8370,1.5348
145.0829,2.386512,1.031766,0.862058,2.0635,1.7241
153.7690,2.680826,1.159008,0.968371,2.3180,1.9367
162.9751,3.011436,1.301941,1.087794,2.6039,2.1756
172.7324,3.382818,1.462502,1.221945,2.9250,2.4439
183.0738,3.800001,1.642864,1.372640,3.2857,2.7453
194.0344,4.268633,1.845468,1.541920,3.6909,3.0838
205.6512,4.795058,2.073059,1.732076,4.1461,3.4642
217.9635,5.386404,2.328717,1.945682,4.6574,3.8914
231.0130,6.050677,2.615903,2.185631,5.2318,4.3713
244.8437,6.796870,2.938507,2.455172,5.8770,4.9103
259.5024,7.635088,3.300896,2.757954,6.6018,5.5159
275.0388,8.576678,3.707975,3.098076,7.4160,6.1962
291.5053,9.634388,4.165258,3.480143,8.3305,6.9603
308.9577,10.822540,4.678934,3.909329,9.3579,7.8187
327.4549,12.157219,5.255959,4.391443,10.5119,8.7829
347.0596,13.656496,5.904145,4.933013,11.8083,9.8660
367.8380,15.340671,6.632268,5.541372,13.2645,11.0827
389.8604,17.232544,7.450186,6.224757,14.9004,12.4495
413.2012,19.357731,8.368973,6.992419,16.7379,13.9848
437.9395,21.745004,9.401069,7.854752,18.8021,15.7095
464.1589,24.426686,10.560447,8.823432,21.1209,17.6469
491.9480,27.439083,11.862804,9.911573,23.7256,19.8231
521.4008,30.822982,13.325772,11.133908,26.6515,22.2678
552.6170,34.624196,14.969160,12.506987,29.9383,25.0140
585.7021,38.894192,16.815218,14.049399,33.6304,28.0988
620.7680,43.690780,18.888938,15.782027,37.7779,31.5641
657.9332,49.078904,21.218398,17.728330,42.4368,35.4567
697.3236,55.131512,23.835137,19.914660,47.6703,39.8293
739.0722,61.930552,26.774582,22.370616,53.5492,44.7412
783.3203,69.568078,30.076531,25.129450,60.1531,50.2589
830.2176,78.147494,33.785690,28.228515,67.5714,56.4570
879.9225,87.784958,37.952278,31.709770,75.9046,63.4195
932.6033,98.610953,42.632706,35.620347,85.2654,71.2407
988.4381,110.772053,47.890343,40.013191,95.7807,80.0264
1047.6158,124.432909,53.796373,44.947779,107.5927,89.8956
1110.3363,139.778478,60.430759,50.490921,120.8615,100.9818
1176.8120,157.016523,67.883324,56.717665,135.7666,113.4353
1247.2675,176.380434,76.254969,63.712316,152.5099,127.4246
1321.9411,198.132381,85.659039,71.569576,171.3181,143.1392
1401.0855,222.566865,96.222858,80.395824,192.4457,160.7916
1484.9683,250.014708,108.089448,90.310562,216.1789,180.6211
1573.8730,280.847530,121.419475,101.448025,242.8390,202.8960
1668.1005,315.482780,136.393414,113.959004,272.7868,227.9180
1767.9694,354.389389,153.214000,128.012888,306.4280,256.0258
1873.8174,398.094118,172.108969,143.799954,344.2179,287.5999
1986.0025,447.188690,193.334141,161.533944,386.6683,323.0679
2104.9041,502.337803,217.176887,181.454961,434.3538,362.9099
2230.9244,564.288127,243.960017,203.832719,487.9200,407.6654
2364.4894,633.878414,274.046150,228.970192,548.0923,457.9404
2506.0510,712.050857,307.842626,257.207719,615.6853,514.4154
2656.0878,799.863840,345.807020,288.927613,691.6140,577.8552
2815.1073,898.506274,388.453337,324.559331,776.9067,649.1187
2983.6472,1009.313692,436.358969,364.585297,872.7179,729.1706
3162.2777,1133.786327,490.172517,409.547426,980.3450,819.0949
