p_ac_kPa,sigma0_old_Pa,sigma0_dual_Pa,ratio,peak_old_pct,peak_dual_pct,dD_old_um,dD_dual_um
10.0000,0.006820,0.010731,1.5733,0.002464,0.003876,0.0049,0.0078
10.4956,0.007513,0.011821,1.5733,0.002714,0.004270,0.0054,0.0085
11.0158,0.008276,0.013022,1.5733,0.002990,0.004704,0.0060,0.0094
11.5618,0.009117,0.014344,1.5733,0.003293,0.005181,0.0066,0.0104
12.1348,0.010043,0.015801,1.5733,0.003628,0.005708,0.0073,0.0114
12.7363,0.011064,0.017407,1.5733,0.003996,0.006288,0.0080,0.0126
13.3675,0.012187,0.019175,1.5733,0.004402,0.006926,0.0088,0.0139
14.0300,0.013425,0.021123,1.5733,0.004850,0.007630,0.0097,0.0153
14.7254,0.014789,0.023268,1.5733,0.005342,0.008405,0.0107,0.0168
15.4552,0.016291,0.025632,1.5733,0.005885,0.009259,0.0118,0.0185
16.2212,0.017946,0.028236,1.5733,0.006483,0.010199,0.0130,0.0204
17.0252,0.019769,0.031104,1.5733,0.007141,0.011235,0.0143,0.0225
17.8690,0.021778,0.034263,1.5733,0.007867,0.012377,0.0157,0.0248
18.7547,0.023990,0.037744,1.5733,0.008666,0.013634,0.0173,0.0273
19.6842,0.026427,0.041578,1.5733,0.009546,0.015019,0.0191,0.0300
20.6598,0.029111,0.045802,1.5733,0.010516,0.016545,0.0210,0.0331
21.6838,0.032068,0.050454,1.5733,0.011584,0.018225,0.0232,0.0365
22.7585,0.035326,0.055580,1.5733,0.012760,0.020077,0.0255,0.0402
23.8864,0.038915,0.061225,1.5733,0.014057,0.022116,0.0281,0.0442
25.0703,0.042868,0.067445,1.5733,0.015485,0.024363,0.0310,0.0487
26.3129,0.047222,0.074296,1.5733,0.017058,0.026837,0.0341,0.0537
27.6170,0.052019,0.081843,1.5733,0.018790,0.029563,0.0376,0.0591
28.9858,0.057303,0.090157,1.5733,0.020699,0.032567,0.0414,0.0651
30.4224,0.063124,0.099315,1.5733,0.022802,0.035875,0.0456,0.0717
31.9302,0.069536,0.109404,1.5733,0.025118,0.039519,0.0502,0.0790
33.5128,0.076600,0.120517,1.5733,0.027670,0.043533,0.0553,0.0871
35.1737,0.084381,0.132760,1.5733,0.030480,0.047956,0.0610,0.0959
36.9170,0.092953,0.146246,1.5733,0.033577,0.052827,0.0672,0.1057
38.7468,0.102395,0.161102,1.5733,0.036987,0.058193,0.0740,0.1164
40.6671,0.112797,0.177467,1.5733,0.040745,0.064105,0.0815,0.1282
42.6827,0.124255,0.195494,1.5733,0.044883,0.070617,0.0898,0.1412
44.7982,0.136877,0.215353,1.5733,0.049443,0.077790,0.0989,0.1556
47.0185,0.150781,0.237229,1.5733,0.054465,0.085692,0.1089,0.1714
49.3489,0.166098,0.261327,1.5733,0.059998,0.094397,0.1200,0.1888
51.7947,0.182970,0.287873,1.5733,0.066093,0.103986,0.1322,0.2080
54.3618,0.201557,0.317116,1.5733,0.072807,0.114549,0.1456,0.2291
57.0562,0.222031,0.349329,1.5733,0.080202,0.126185,0.1604,0.2524
59.8840,0.244586,0.384815,1.5733,0.088349,0.139003,0.1767,0.2780
62.8520,0.269431,0.423905,1.5733,0.097324,0.153123,0.1946,0.3062
65.9672,0.296800,0.466966,1.5733,0.107211,0.168678,0.2144,0.3374
69.2367,0.326950,0.514401,1.5733,0.118101,0.185813,0.2362,0.3716
72.6682,0.360162,0.566655,1.5733,0.130098,0.204688,0.2602,0.4094
76.2699,0.396748,0.624217,1.5733,0.143314,0.225480,0.2866,0.4510
80.0500,0.437051,0.687626,1.5733,0.157872,0.248385,0.3157,0.4968
84.0175,0.481447,0.757477,1.5733,0.173909,0.273616,0.3478,0.5472
88.1816,0.530353,0.834422,1.5733,0.191575,0.301411,0.3831,0.6028
92.5522,0.584228,0.919185,1.5733,0.211035,0.332029,0.4221,0.6641
97.1393,0.643575,1.012557,1.5733,0.232473,0.365757,0.4649,0.7315
101.9538,0.708950,1.115415,1.5733,0.256088,0.402911,0.5122,0.8058
107.0069,0.780967,1.228721,1.5733,0.282102,0.443840,0.5642,0.8877
112.3105,0.860299,1.353537,1.5733,0.310758,0.488926,0.6215,0.9779
117.8769,0.947690,1.491032,1.5733,0.342325,0.538592,0.6847,1.0772
123.7192,1.043958,1.642493,1.5733,0.377099,0.593303,0.7542,1.1866
129.8510,1.150005,1.809341,1.5733,0.415406,0.653572,0.8308,1.3071
136.2868,1.266825,1.993138,1.5733,0.457604,0.719963,0.9152,1.4399
143.0415,1.395511,2.195604,1.5733,0.504088,0.793098,1.0082,1.5862
150.1311,1.537270,2.418638,1.5733,0.555294,0.873663,1.1106,1.7473
157.5720,1.693429,2.664328,1.5733,0.611702,0.962411,1.2234,1.9248
165.3817,1.865451,2.934976,1.5733,0.673840,1.060175,1.3477,2.1203
173.5784,2.054947,3.233116,1.5733,0.742290,1.167869,1.4846,2.3357
182.1815,2.263692,3.561542,1.5733,0.817693,1.286504,1.6354,2.5730
191.2109,2.493642,3.923331,1.5733,0.900756,1.417189,1.8015,2.8344
200.6878,2.746951,4.321870,1.5733,0.992257,1.561150,1.9845,3.1223
210.6345,3.025992,4.760894,1.5733,1.093052,1.719735,2.1861,3.4395
221.0741,3.333378,5.244515,1.5733,1.204086,1.894429,2.4082,3.7889
232.0311,3.671989,5.777263,1.5733,1.326400,2.086869,2.6528,4.1737
243.5312,4.044997,6.364129,1.5733,1.461138,2.298857,2.9223,4.5977
255.6013,4.455896,7.010609,1.5733,1.609563,2.532379,3.2191,5.0648
268.2696,4.908534,7.722760,1.5733,1.773066,2.789623,3.5461,5.5792
281.5658,5.407153,8.507253,1.5733,1.953177,3.072999,3.9064,6.1460
295.5209,5.956422,9.371437,1.5733,2.151585,3.385160,4.3032,6.7703
310.1677,6.561486,10.323405,1.5733,2.370147,3.729031,4.7403,7.4581
325.5405,7.228015,11.372077,1.5733,2.610911,4.107833,5.2218,8.2157
341.6752,7.962251,12.527274,1.5733,2.876132,4.525115,5.7523,9.0502
358.6095,8.771072,13.799819,1.5733,3.168295,4.984784,6.3366,9.9696
376.3832,9.662054,15.201632,1.5733,3.490137,5.491149,6.9803,10.9823
395.0378,10.643544,16.745843,1.5733,3.844672,6.048950,7.6893,12.0979
414.6170,11.724736,18.446918,1.5733,4.235221,6.663414,8.4704,13.3268
435.1665,12.915757,20.320792,1.5733,4.665443,7.340297,9.3309,14.6806
456.7346,14.227765,22.385017,1.5733,5.139367,8.085938,10.2787,16.1719
479.3716,15.673049,24.658931,1.5733,5.661434,8.907323,11.3229,17.8146
503.1305,17.265148,27.163833,1.5733,6.236534,9.812147,12.4731,19.6243
528.0671,19.018975,29.923187,1.5733,6.870053,10.808884,13.7401,21.6178
554.2395,20.950959,32.962843,1.5733,7.567926,11.906871,15.1359,23.8137
581.7091,23.079198,36.311272,1.5733,8.336691,13.116394,16.6734,26.2328
610.5402,25.423628,39.999842,1.5733,9.183548,14.448783,18.3671,28.8976
640.8003,28.006210,44.063103,1.5733,10.116431,15.916518,20.2329,31.8330
672.5601,30.851135,48.539119,1.5733,11.144078,17.533349,22.2882,35.0667
705.8940,33.985053,53.469816,1.5733,12.276115,19.314420,24.5522,38.6288
740.8800,37.437320,58.901384,1.5733,13.523146,21.276417,27.0463,42.5528
777.6001,41.240276,64.884701,1.5733,14.896854,23.437716,29.7937,46.8754
816.1401,45.429543,71.475814,1.5733,16.410105,25.818565,32.8202,51.6371
856.5902,50.044364,78.736466,1.5733,18.077075,28.441265,36.1542,56.8825
899.0452,55.127968,86.734669,1.5733,19.913379,31.330384,39.8268,62.6608
943.6043,60.727974,95.545345,1.5733,21.936219,34.512985,43.8724,69.0260
990.3719,66.896839,105.251026,1.5733,24.164543,38.018881,48.3291,76.0378
1039.4575,73.692349,115.942630,1.5733,26.619224,41.880912,53.2384,83.7618
1090.9758,81.178161,127.720307,1.5733,29.323256,46.135256,58.6465,92.2705
1145.0476,89.424396,140.694383,1.5733,32.301969,50.821765,64.6039,101.6435
1201.7993,98.508300,154.986391,1.5733,35.583266,55.984339,71.1665,111.9687
1261.3637,108.514964,170.730209,1.5733,39.197883,61.671336,78.3958,123.3427
1323.8804,119.538124,188.073315,1.5733,43.179680,67.936030,86.3594,135.8721
1389.4955,131.681038,207.178167,1.5733,47.565956,74.837104,95.1319,149.6742
1458.3627,145.057454,228.223727,1.5733,52.397798,82.439202,104.7956,164.8784
1530.6431,159.792671,251.407136,1.5733,57.720468,90.813536,115.4409,181.6271
1606.5060,176.024720,276.945560,1.5733,63.583825,100.038551,127.1676,200.0771
1686.1288,193.905653,305.078227,1.5733,70.042793,110.200661,140.0856,220.4013
1769.6980,213.602965,336.068665,1.5733,77.157876,121.395058,154.3158,242.7901
1857.4091,235.301168,370.207171,1.5733,84.995722,133.726603,169.9914,267.4532
1949.4674,259.203517,407.813533,1.5733,93.629752,147.310810,187.2595,294.6216
2046.0883,285.533913,449.240023,1.5733,103.140844,162.274928,206.2817,324.5499
2147.4980,314.539001,494.874695,1.5733,113.618091,178.759130,227.2362,357.5183
2253.9339,346.490483,545.145026,1.5733,125.159637,196.917829,250.3193,393.8357
2365.6450,381.687658,600.521915,1.5733,137.873596,216.921124,275.7472,433.8422
2482.8929,420.460230,661.524095,1.5733,151.879063,238.956392,303.7581,477.9128
2605.9518,463.171395,728.722995,1.5733,167.307232,263.230046,334.6145,526.4601
2735.1100,510.221243,802.748090,1.5733,184.302626,289.969464,368.6053,579.9389
2870.6695,562.050507,884.292797,1.5733,203.024444,319.425125,406.0489,638.8502
3012.9477,619.144687,974.120974,1.5733,223.648060,351.872948,447.2961,703.7459
3162.2777,682.038604,1073.074071,1.5733,246.366664,387.616884,492.7333,775.2338
