t_s,eps_uniaxial_pct,eps_biaxial_pct,Dx_uni_um,Dy_uni_um,Dx_bi_um,Dy_bi_um,sigma_on
0.000000,0.000000,0.000000,200.0000,200.0000,200.0000,200.0000,1
0.002668,0.104926,0.165083,199.7901,200.1049,199.6698,200.3302,1
0.005335,0.207484,0.326442,199.5850,200.2075,199.3471,200.6529,1
0.008003,0.307738,0.484175,199.3845,200.3077,199.0317,200.9683,1
0.010670,0.405748,0.638377,199.1885,200.4057,198.7232,201.2768,1
0.013338,0.501573,0.789141,198.9969,200.5016,198.4217,201.5783,1
0.016005,0.595269,0.936557,198.8095,200.5953,198.1269,201.8731,1
0.018673,0.686894,1.080713,198.6262,200.6869,197.8386,202.1614,1
0.021340,0.776501,1.221696,198.4470,200.7765,197.5566,202.4434,1
0.024008,0.864144,1.359587,198.2717,200.8641,197.2808,202.7192,1
0.026676,0.949874,1.494469,198.1003,200.9499,197.0111,202.9889,1
0.029343,1.033742,1.626420,197.9325,201.0337,196.7472,203.2528,1
0.032011,1.115796,1.755518,197.7684,201.1158,196.4890,203.5110,1
0.034678,1.196083,1.881838,197.6078,201.1961,196.2363,203.7637,1
0.037346,1.274651,2.005451,197.4507,201.2747,195.9891,204.0109,1
0.040013,1.351545,2.126430,197.2969,201.3515,195.7471,204.2529,1
0.042681,1.426808,2.244844,197.1464,201.4268,195.5103,204.4897,1
0.045348,1.500483,2.360760,196.9990,201.5005,195.2785,204.7215,1
0.048016,1.572612,2.474243,196.8548,201.5726,195.0515,204.9485,1
0.050684,1.643236,2.585358,196.7135,201.6432,194.8293,205.1707,1
0.053351,1.712394,2.694166,196.5752,201.7124,194.6117,205.3883,1
0.056019,1.780124,2.800729,196.4398,201.7801,194.3985,205.6015,1
0.058686,1.846465,2.905104,196.3071,201.8465,194.1898,205.8102,1
0.061354,1.911452,3.007351,196.1771,201.9115,193.9853,206.0147,1
0.064021,1.975121,3.107523,196.0498,201.9751,193.7850,206.2150,1
0.066689,2.037506,3.205677,195.9250,202.0375,193.5886,206.4114,1
0.069356,2.098642,3.301864,195.8027,202.0986,193.3963,206.6037,1
0.072024,2.158561,3.396136,195.6829,202.1586,193.2077,206.7923,1
0.074692,2.217295,3.488545,195.5654,202.2173,193.0229,206.9771,1
