t_s,eps_uniaxial_pct,eps_biaxial_pct,Dx_uni_um,Dy_uni_um,Dx_bi_um,Dy_bi_um,sigma_on
0.000000,0.000000,0.000000,200.0000,200.0000,200.0000,200.0000,1
0.005001,0.194760,0.306422,199.6105,200.1948,199.3872,200.6128,1
0.010002,0.381392,0.600056,199.2372,200.3814,198.7999,201.2001,1
0.015003,0.560291,0.881525,198.8794,200.5603,198.2370,201.7630,1
0.020003,0.731835,1.151420,198.5363,200.7318,197.6972,202.3028,1
0.025004,0.896380,1.410305,198.2072,200.8964,197.1794,202.8206,1
0.030005,1.054269,1.658716,197.8915,201.0543,196.6826,203.3174,1
0.035006,1.205824,1.897163,197.5884,201.2058,196.2057,203.7943,1
0.040007,1.351355,2.126131,197.2973,201.3514,195.7477,204.2523,1
0.045008,1.491153,2.346081,197.0177,201.4912,195.3078,204.6922,1
0.050008,1.625499,2.557452,196.7490,201.6255,194.8851,205.1149,1
0.055009,1.754658,2.760662,196.4907,201.7547,194.4787,205.5213,1
0.060010,1.878881,2.956107,196.2422,201.8789,194.0878,205.9122,1
0.065011,1.998410,3.144165,196.0032,201.9984,193.7117,206.2883,1
0.070012,2.113471,3.325195,195.7731,202.1135,193.3496,206.6504,1
0.075013,2.224283,3.499539,195.5514,202.2243,193.0009,206.9991,1
0.080013,2.331053,3.667523,195.3379,202.3311,192.6650,207.3350,1
0.085014,2.433975,3.829454,195.1320,202.4340,192.3411,207.6589,1
0.090015,2.533238,3.985629,194.9335,202.5332,192.0287,207.9713,1
0.095016,2.629020,4.136325,194.7420,202.6290,191.7274,208.2726,1
0.100017,2.721489,4.281810,194.5570,202.7215,191.4364,208.5636,1
0.105018,2.810807,4.422336,194.3784,202.8108,191.1553,208.8447,1
0.110018,2.897126,4.558144,194.2057,202.8971,190.8837,209.1163,1
0.115019,2.980592,4.689464,194.0388,202.9806,190.6211,209.3789,1
0.120020,3.061343,4.816513,193.8773,203.0613,190.3670,209.6330,1
0.125021,3.139512,4.939499,193.7210,203.1395,190.1210,209.8790,1
0.130022,3.215223,5.058618,193.5696,203.2152,189.8828,210.1172,1
0.135023,3.288596,5.174058,193.4228,203.2886,189.6519,210.3481,1
0.140023,3.359744,5.285998,193.2805,203.3597,189.4280,210.5720,1
0.145024,3.428776,5.394607,193.1424,203.4288,189.2108,210.7892,1
0.150025,3.495792,5.500047,193.0084,203.4958,188.9999,211.0001,1
0.155026,3.560892,5.602470,192.8782,203.5609,188.7951,211.2049,1
0.160027,3.624168,5.702024,192.7517,203.6242,188.5960,211.4040,1
0.165028,3.685708,5.798848,192.6286,203.6857,188.4023,211.5977,1
0.170028,3.745597,5.893072,192.5088,203.7456,188.2139,211.7861,1
0.175029,3.803913,5.984823,192.3922,203.8039,188.0304,211.9696,1
0.180030,3.860734,6.074221,192.2785,203.8607,187.8516,212.1484,1
